transaction_id,goal_id,kristal_id,asset_id
712075,3080742,2880.0,1269016
712075,3080736,2880.0,1269016
712066,3080742,2880.0,1269016
712066,3080736,2880.0,1269016
712072,3080740,2880.0,1269016
712072,3080738,2880.0,1269016
712069,3080740,2880.0,1269016
712069,3080738,2880.0,1269016
632537,2301376,2988.0,1270394
632537,2301246,2988.0,1270394
632567,2301376,2988.0,1270394
632567,2301246,2988.0,1270394
752079,3085159,3321.0,1275496
752079,3085158,3321.0,1275496
752078,3085159,3321.0,1275496
752078,3085158,3321.0,1275496
742438,3083848,3321.0,1275496
742438,3083847,3321.0,1275496
742437,3083848,3321.0,1275496
742437,3083847,3321.0,1275496
729240,3083693,16231.0,1295830
729240,3083695,16231.0,1295830
753327,3085775,10169.0,1286657
753327,3085772,10169.0,1286657
753330,3085775,10169.0,1286657
753330,3085772,10169.0,1286657
460758,132181,2205.0,1224590
460758,131713,2205.0,1224590
460266,132181,2205.0,1224590
460266,131713,2205.0,1224590
496504,172175,2560.0,1263198
496504,172158,2560.0,1263198
496521,172175,2560.0,1263198
496521,172158,2560.0,1263198
496496,172207,2560.0,1263198
496496,172150,2560.0,1263198
496552,172207,2560.0,1263198
496552,172150,2560.0,1263198
753242,3085684,2205.0,1224590
753242,3085683,2205.0,1224590
753243,3085684,2205.0,1224590
753243,3085683,2205.0,1224590
181416,9757,2350.0,1247440
181416,9538,2350.0,1247440
182206,9757,2350.0,1247440
182206,9538,2350.0,1247440
753236,3085676,2205.0,1224590
753236,3085675,2205.0,1224590
753231,3085676,2205.0,1224590
753231,3085675,2205.0,1224590
668236,2940095,3626.0,1277694
668236,2940096,3626.0,1277694
668235,2940095,3626.0,1277694
668235,2940096,3626.0,1277694
756190,3086876,23942.0,1298672
756190,3086875,23942.0,1298672
756187,3086876,23942.0,1298672
756187,3086875,23942.0,1298672
132820,2747,2211.0,1225457
132820,2743,2211.0,1225457
132824,2747,2211.0,1225457
132824,2743,2211.0,1225457
744038,3084300,2971.0,1270123
744038,3084303,2971.0,1270123
744033,3084300,2971.0,1270123
744033,3084303,2971.0,1270123
159246,4885,2260.0,1229622
159246,4919,2353.0,1229622
668212,2940061,3626.0,1277694
668212,2940072,3626.0,1277694
668201,2940061,3626.0,1277694
668201,2940072,3626.0,1277694
756192,3086874,23943.0,1298673
756192,3086878,23943.0,1298673
756183,3086874,23943.0,1298673
756183,3086878,23943.0,1298673
743196,3084056,14913.0,1294282
743196,3084060,14913.0,1294282
743200,3084056,14913.0,1294282
743200,3084060,14913.0,1294282
132819,2742,2211.0,1225457
132819,2746,2211.0,1225457
132823,2742,2211.0,1225457
132823,2746,2211.0,1225457
756195,3086504,23647.0,1298515
756195,3086882,23647.0,1298515
755134,3086504,23647.0,1298515
755134,3086882,23647.0,1298515
762732,3087365,21468.0,1297278
762732,3087366,21468.0,1297278
762733,3087365,21468.0,1297278
762733,3087366,21468.0,1297278
765404,3088542,16219.0,1295811
765404,3088774,16219.0,1295811
765352,3088542,16219.0,1295811
765352,3088774,16219.0,1295811
132821,2748,2211.0,1225457
132821,2744,2211.0,1225457
132825,2748,2211.0,1225457
132825,2744,2211.0,1225457
